"log_Gamma","ATT_LB","SE_LB","SE.Boot_LB","ATT_UB","SE_UB","SE.Boot_UB"
0.44,-1.85732962738695,0.121446851164003,0.139510267579789,-0.09995597449575,0.122960202311573,0.127585731212657
0.45,-1.87956989269674,0.12143616268406,0.137609463483901,-0.0792158153973281,0.123208188428629,0.123987095470514
0.46,-1.90032110248094,0.121439364706556,0.143553588144816,-0.0603231469435857,0.123569667282892,0.128773687466177
0.47,-1.92258339098745,0.121760227083341,0.143780647064136,-0.0414726253317376,0.123848125348405,0.125981953803396
0.48,-1.94435235097136,0.121811814150578,0.14269623049356,-0.022540275227772,0.124026164230948,0.12113416582664
0.49,-1.96675372235723,0.121801355849888,0.139729842406619,-0.00360118086781444,0.124230780972573,0.126314691451948
0.5,-1.98921220361311,0.121895430600869,0.14586282896131,0.0164077760078037,0.124543801626193,0.119476466856991
0.51,-2.01078941121406,0.121917461298939,0.139928695552789,0.0352855812929003,0.124794306095129,0.125626943776701
0.52,-2.03293268655124,0.122299450571674,0.141267588285818,0.053845464395176,0.125205722024154,0.123548856668407
0.53,-2.05487215497301,0.122396204005458,0.146902465334159,0.0717125838019703,0.125429018223559,0.124452912530861
0.54,-2.07670885477496,0.122407683498629,0.139178777096864,0.0902991484672228,0.125690477229005,0.128557700537477
0.55,-2.09943703314617,0.12254460192102,0.149786581687826,0.109332939800178,0.12585329412847,0.126412713753963
0.56,-2.12148331597197,0.122567514445201,0.145330684655841,0.12816612498797,0.126081122175582,0.125641432916501
0.57,-2.14382684642851,0.123036811525543,0.146188970245492,0.146361552073573,0.126390034137605,0.125936530240443
0.58,-2.1656056423518,0.123095723325186,0.148526041978886,0.164998742523962,0.126779644531157,0.12841996554208
0.59,-2.18649765439308,0.123105657153522,0.150291819635723,0.183854225294706,0.126979370706576,0.129590853039883
0.6,-2.20999307400564,0.123128677112351,0.148138182563052,0.20084761313249,0.127339605913461,0.129987209847616
0.61,-2.23239512317807,0.123573319121038,0.144479016789301,0.220469820662003,0.127583845940784,0.128048087805505
0.62,-2.25540519667657,0.123905043840621,0.14709759503407,0.238123036096142,0.127733573886701,0.123226409367151
0.63,-2.2765147515794,0.123900478780045,0.148058366777358,0.256639383847188,0.128168889734614,0.128838818448167
0.64,-2.29819119746169,0.123957750158637,0.154317933249921,0.27515246630467,0.128574182811818,0.132510600263382
0.65,-2.32136691547539,0.124071304167666,0.152385901532621,0.291543877477366,0.128901238452471,0.127999362567783
0.66,-2.34441583010299,0.12467485889186,0.155517779124087,0.310725911905809,0.129195374629253,0.13154076365663
0.67,-2.36690650721508,0.124889493215082,0.153985136666539,0.328356137305362,0.1294002253625,0.130699368151095
0.68,-2.38854769302722,0.125087206939541,0.151211794321179,0.3450784669853,0.129818884221129,0.126283012086794
0.69,-2.40998296015058,0.125329800280677,0.155145295469069,0.36568880758137,0.130276070743,0.128923466007612
0.7,-2.43211258759041,0.125638473888931,0.158206233876408,0.381735552251628,0.130592743473486,0.131975229360426
0.71,-2.45492582942593,0.126305189965782,0.150140657578327,0.39878967427579,0.130941909207366,0.130808574579516
0.72,-2.4777509215609,0.126455470811856,0.15318534637969,0.41845716203267,0.131070538005555,0.136633258685855
0.73,-2.5000586167346,0.126809010265102,0.15580367924635,0.43672491230938,0.131236128828569,0.132658448778357
0.74,-2.52131993434345,0.127077570077717,0.157807056326986,0.456501087916048,0.131790053563885,0.133531581668779
0.75,-2.5441117231143,0.127493974434338,0.161359909906324,0.472190495949434,0.132015065953977,0.131711349435744
0.76,-2.56855319339429,0.128215956800042,0.163813142258215,0.491619989015684,0.132297208021457,0.131117973142475
0.77,-2.59116923530306,0.128520606074062,0.156375234431979,0.511310539778932,0.132270841245224,0.135848199043666
0.78,-2.61273707919537,0.128749065901131,0.166100928267997,0.531412822328807,0.132477950975167,0.135673922886443
0.79,-2.63421312080945,0.128979735951848,0.159880700615357,0.5483590035548,0.133074720109445,0.13555309214841
0.8,-2.65890303559881,0.129994218322901,0.161433481103753,0.568184453571266,0.1332947989597,0.13358375438705
0.81,-2.6823284092001,0.130434828644584,0.156708779558932,0.584085282400261,0.133279402374055,0.13473943691075
0.82,-2.70398988990734,0.130591365232308,0.165708633982287,0.603705264839347,0.133265836006238,0.137546649272244
0.83,-2.72698094956003,0.130935996492903,0.171874997820194,0.621429169080587,0.133302862634615,0.134978456690699
0.84,-2.74812025047379,0.131286547802757,0.168892152717474,0.641236195371403,0.133629660999852,0.138268024966328
0.85,-2.77294811045635,0.132254203759185,0.167591175694807,0.658171842720042,0.134088400879414,0.135127532657924
0.86,-2.79681087877737,0.132634993741167,0.166581708872794,0.67337977566165,0.133953105241045,0.130779232583197
0.87,-2.81961748703064,0.132869473889432,0.162840618885888,0.691245319943928,0.134186759754211,0.137929522414021
0.88,-2.84097824722157,0.133063601558136,0.175028548553598,0.712963216511897,0.134323836328888,0.134964345369411
0.89,-2.86381983929627,0.133535751106345,0.17519891827848,0.731955453228267,0.134857990823222,0.139316306999258
0.9,-2.88605735996222,0.134409594995656,0.164718039317615,0.748192339925824,0.134921824582798,0.13585706677024
0.91,-2.91244670095234,0.134923092351397,0.17338344516729,0.765133146995668,0.135240815716179,0.140446816158936
0.92,-2.934355709521,0.135110780732916,0.172675331831897,0.782908601131124,0.13552483336909,0.139361893631663
0.93,-2.95723174000666,0.135228245535464,0.172509346913867,0.802970512775998,0.135643526691511,0.137535023628857
0.94,-2.98180264979071,0.136157264745021,0.172365334800737,0.822170505567945,0.13621111328261,0.141114143133492
0.95,-3.00386659863197,0.136703065857899,0.177570750254447,0.837690521637643,0.13616872919961,0.140589947377959
0.96,-3.02653801140746,0.13737153058169,0.176696115182973,0.85475443784085,0.13643891548813,0.136155932018801
0.97,-3.05036531387094,0.137652504530298,0.170868658103292,0.874005261131981,0.136554637531633,0.135031341407786
0.98,-3.07263220722588,0.137818373907516,0.176607233837041,0.892246215297918,0.136547019093027,0.13963078210855
0.99,-3.09607583804761,0.138688960385986,0.180577404593496,0.910717257204664,0.136904156060934,0.141200943057418
1,-3.11934540324738,0.139356701189151,0.177908509838184,0.927618598211608,0.136962833784401,0.142174613023834
0,-0.914442357959246,0.115927552817575,0.124033796526024,-0.914442357959246,0.115927552817575,0.121026994194222
0.01,-0.933911519402512,0.115996175582261,0.120062341087088,-0.895036565064295,0.115866521374955,0.125656852783128
0.02,-0.953391274177886,0.116066430543697,0.126062340928714,-0.875630493915415,0.115810390570353,0.122438740068488
