"BATCH","Est_DID_NP_X_01","Est_DID_NP_X_02","Est_UDID_NP_X_01","Est_UDID_NP_X_02","SE_DID_NP_X_01","SE_DID_NP_X_02","SE_UDID_NP_X_01","SE_UDID_NP_X_02","BSE_UDID_NP_X_01","BSE_UDID_NP_X_02","DID_Time","UDID_Time_01","UDID_Time_02"
17,-0.405357881005156,-0.505482164884512,-0.00200492603004641,-0.907742242345041,0.221257127553608,0.498906693436513,0.127176489461238,0.109261780888065,0.12447815093569,0.112547410422558,561.313586473465,259.339829921722,261.352162599564
18,-0.26421279320648,-0.889616021144548,-0.0153312964737067,-0.852921447283488,0.141838833425692,0.117277869899128,0.137236262736647,0.116886545737758,0.13116157853683,0.122094072010312,798.873365402222,281.562082052231,277.433594703674
19,-0.341306233484806,-0.808480770452704,-0.0203627703602696,-0.940741693068455,0.150310201538481,0.151669525986104,0.129494217068167,0.123182595556563,0.135520057454208,0.132186853597875,559.297370672226,251.10736656189,243.44930267334
20,-0.347871598014851,-0.919752787233628,-0.0200993455394536,-1.00773300445519,0.164518019343188,0.147566966624892,0.138218848889366,0.133483431821297,0.141175906089209,0.139491326102295,578.18302488327,280.269532442093,275.775374174118
21,-0.157394277218818,-0.975846857955477,-0.0026170646922483,-0.915371969116044,0.141387239867525,0.136379573874986,0.124338623715022,0.114871958867269,0.124112983146845,0.123367823436195,605.399987697601,270.287893533707,257.377672433853
22,-0.272936453170409,-0.941940839083336,-0.0169937874121315,-0.956609954811021,0.138715181406241,0.130832683565968,0.125576377491884,0.110259038881962,0.123938516437957,0.111160401317783,623.787914037704,265.79978966713,264.993857145309
23,-0.228377507531462,-0.946738182632087,0.00333895756984605,-0.911645433164343,0.140994745352883,0.12523203661036,0.129998462274303,0.113454084787223,0.12893446398838,0.119649741798845,613.641012907028,278.508172512054,281.443007946014
24,-0.34649884324569,-0.781133672164122,0.0774809413709498,-0.837783778252878,0.162664865208413,0.150063675591398,0.132673943551589,0.132082858705271,0.132398132759459,0.133041935474985,561.122834920883,267.476817846298,266.52062869072
25,-0.224208639563841,-0.95924647007775,0.0163393663424407,-0.935258620998834,0.130954082741668,0.124007575067957,0.118430647939624,0.106676682989174,0.121010210121548,0.109971912518158,635.367316246033,299.759344577789,296.161906003952
26,-0.369010725562352,-0.803652209097144,0.0216799974337253,-0.919691948575453,0.174202818606322,0.162438968298048,0.126140682483253,0.107180036577244,0.122514744382818,0.11513610094624,524.166091680527,237.412031888962,235.856153488159
27,-0.605780200942129,-0.717592478692585,0.0231099878755762,-0.940989296923877,0.542962626626837,0.289491073649139,0.126589291561372,0.114759421880811,0.126142014371722,0.119214055726201,495.319494247437,233.159376144409,232.381699800491
28,-0.288924184344662,-0.890488338891942,0.000225561493630214,-0.947903079645059,0.152484583339326,0.135300684605298,0.126054103111544,0.114528884758956,0.124923714599374,0.120684367855815,625.208735466003,278.69186425209,275.517671108246
29,-0.37721244477342,-0.866996794059282,0.0518958051145074,-0.950343690421175,0.184509181358232,0.145535757419123,0.126389684865648,0.117113183396275,0.127740933664067,0.123967235129888,446.000761032104,218.388651132584,220.647608995438
30,-0.330827041051804,-0.899732309014692,0.042146096329281,-0.973593022745329,0.159781190189224,0.133889950801088,0.124582395641318,0.115122551520661,0.122083383758796,0.118892734776175,546.644607067108,252.441599607468,252.062537193298
31,-0.318038398690385,-0.908551745489875,-0.00110230849688161,-0.890275732569375,0.154968355864206,0.126797552188666,0.132411995006731,0.119190993518937,0.12730973907158,0.12451326791848,585.793154478073,271.015671253204,268.215209245682
32,-0.25043958665621,-0.970380976833652,0.0478890365113261,-0.915354864176742,0.14861773236029,0.128124030247193,0.138932312136732,0.115796570825326,0.136625430145226,0.12077390516348,494.967695236206,223.732295274734,204.694499731064
33,-0.297231925739814,-0.937630157457738,0.0174626423705809,-0.867709390245738,0.151952103731093,0.125391450253008,0.121155817830417,0.114501322105826,0.122621184847717,0.119813931785053,516.140929698944,237.25501036644,250.712563753128
34,-0.316367658490263,-0.880246790234786,-0.0591254444755098,-0.910887553205185,0.172031937651501,0.130557241762932,0.134151657811499,0.11325136813521,0.132137034185804,0.122966871048895,484.610949993134,218.877017259598,231.696860790253
35,-0.247285598890591,-0.992773855304663,0.0138412394116065,-0.943256219026787,0.143558121145546,0.119635459592776,0.12366984263261,0.113196381962394,0.120787225439972,0.11730808694505,354.946145057678,170.001691102982,171.407219171524
36,-0.27230452599217,-0.915857448068122,0.0123633985792254,-0.805718621914433,0.141980126838337,0.126810407661418,0.131037555866456,0.13689288705144,0.128993581941634,0.139528876643909,509.227123498917,244.18390750885,242.092900753021
37,-0.265041640934688,-0.952910901872631,-0.0037547282732776,-0.967694634412726,0.141779554758961,0.119906984619102,0.12606388091471,0.110127878090294,0.125185876905568,0.118000171757901,600.175248384476,275.406822443008,280.23836183548
38,-0.267641908763406,-1.00371046154858,0.00201934321996267,-0.899823874475951,0.147669567614511,0.11996648311567,0.130145463020071,0.119726663761034,0.125411765806693,0.120760937753531,507.524204015732,218.550201177597,232.606085538864
39,-0.26050100332119,-0.933935186246233,-0.018037473144629,-0.923108863731714,0.135396448989312,0.123419713297459,0.151411284929542,0.125854170524297,0.151155571209668,0.132064884300774,503.318538665771,216.833511590958,229.314203977585
40,-0.289615497280267,-0.971587167501992,0.033458809293838,-0.910422277119063,0.13282310590596,0.123206168525664,0.121682483774387,0.113134396957299,0.121106908019724,0.116461209492193,591.243073940277,253.10994386673,245.213633298874
41,-0.297782282004302,-0.92205449047238,0.0303972818435573,-0.942918850280739,0.141143335435249,0.120619512933737,0.121749717204615,0.112382352149108,0.119755705631216,0.119987867250236,495.113466024399,221.798010110855,232.78452539444
